Tweet,Etiket
Çevrem gerizekalı dolu mesela kankam ve ben.,Negatif
Beklenen anlardan nefret ediyorum doğaçlama takılsanıza,Negatif
Saçma sapan kişilere  tahammülüm  kalmadı,Negatif
Gerizekalı sınıf arkadaşlarımı görmeye hazır değilim,Negatif
Tokamı buldum ama düzgün toplamıyor aşırı gevşemiş sinirden kudurdum,Negatif
Anla ben büyük harflerden ürktüm,Negatif
Rezil bir rüya gördüm ve bugün 19u. Biraz ürktüm... ,Negatif
İçinizde öldürdüğünüz kişiyi karşınızda görmek çok korkutucu değil mi?,Negatif
Rüzgar sesi neden bu kadar korkutucu,Negatif
kuş fobim var ama evde kuş yaşıyor?,Negatif
İkizler burcuna karşı fobim var,Negatif
Özel hayatıma burnunu sokan insanlara karşı fobim var,Negatif
Erken yatma fobim var ciddi ciddi korkuyorum uyumaktan,Negatif
Dişçiye gitmem gerekiyor lakin benim dişçi fobim var,Negatif
Polonya'da doğalgaz boru hattında patlama,Negatif
Bu yeni kuş ne biçim suratıma atlıyor ödüm koptu resmen,Negatif
gördüğüm kabus yüzünden tüm gece uyumadım ,Negatif
Kalpsiz olmanız gerçekten korkutucu,Negatif
Korku filmi izleyemiyorum! Gerçekten çok korkuyorum..,Negatif
Temmuz Ayındaki Dolu Yağışında Yolculuk Yapan Uçağın Korku Dolu Anları ,Negatif
"Nijerya'da bombalı saldırı: 10 ölü, 30 yaralı ",Negatif
Belge unutulsun diye patlama olabilir / Afrin'e girilebilir.,Negatif
Az önce 60tl harcadım şimdi atmde sıra bekliyorum korkuyorum,Negatif
Kedilerin Diğer Hayvanlardan Daha Korkutucu Olduğu Anlar ,Negatif
Kanada: Afrin'deki askeri eylemlerin tırmanması endişe verici ,Negatif
N'olur şu moda son bulsun ödüm koptu hanımefendi,Negatif
Demin deprem olduğunu sandım ödüm koptu ellerim çok titriyor korkudan ya,Negatif
"Umut Bulut Fenerbahçe’de okudum, ödüm koptu",Negatif
Öldün mü kaldın mı endişelendim,Negatif
Geleneksel kar tweetlerinizi nerede kaldı endişelendim,Negatif
Alaska’da deprem olmuş senin için endişelendim nasılsın?,Negatif
Bu direktiflerden ben kadın olarak irkildim vah ki erkeklere,Negatif
Kobra geçiyor ve ben irkildim şuan Allah'ım sen koru yarabbim.,Negatif
"Bilemedim ama eğer doğruysa çok vahim bir durum, okurken irkildim.",Negatif
ardeşim montunu arkama bu şekil koymuş birden arkama dönünce irkildim ,Negatif
Dalıp gitmişim yıldırım demirörenin konuşmasıyla irkildim. Niye dinliyorum ben bunu,Negatif
tam içim geçmişti uyuyordum ki senin tweet bildirimine irkildim,Negatif
aniden aklıma 13 sayısı geldi ve birden irkildim ,Negatif
"Bayadır kaos görmüyordum, taymda görünce bi irkildim",Negatif
Kabus değil ama kabus gibi rüya gördüm,Negatif
"Kabus gibi rüya gördüm. 5 gün okulum vardı ve hepsi yarım saat, 1 saatlik dersler.",Negatif
"Az önce çektim, namussuz ürkecek diye ödüm koptu",Negatif
Makarna yapmaya çalışırken evi yakıyordum amk ödüm koptu nasıl bir modelim anlamadım gitti,Negatif
Gol yedik ama ofsayt ödüm koptu dondum 3 saniye falan,Negatif
Yanlışlıkla son ses video açtım ödüm koptu ya,Negatif
6. Duyu organım olan kulaklıklarımı evde unuttum sandım ödüm koptu ödüm,Negatif
Korku filmi mi çekiyosun trafo kardeş patlayacaksan adam akıllı patla ödüm koptu,Negatif
İnstagram birden hesabımdan çıkış yaptı ödüm koptu hesabım çalındı sandım,Negatif
"Kapılırsam sonu yok, herşeyi feda edeceğim, ürkütücü",Negatif
Bir toplumun kötüde ve kötülükte birleşmesi ürkütücü.,Negatif
korktun mu diye video çeken kız ünlü olmuş korktum,Negatif
Yastığımın altından siri konuştu çok korktum be,Negatif
Oturduğumuz mekanın camı düştü korktum,Negatif
Biz kızlardan korkun bence çünkü ben bile bizden korktum,Negatif
uykudan ölüyorum ama yatamıyorum galiba annem haklı ve yatma fobim var,Negatif
Sarı bez fobim var. Asla üzerindeki kırıntılardan arındıramıyorsun bezi.,Negatif
ya benim yaşlı amcalara teyzelere fobim var galiba korkutuyorlar,Negatif
Kedileri sevmiyorum hatta fobim var hate kediler,Negatif
Özgüvenim çok ama biriyle tanışma fobim var,Negatif
"Bursa’da korkunç kaza: 3 ölü, 32 yaralı",Negatif
O kadar çok korktum ki kaybetmekten sonuç olarak kaybettim,Negatif
"Tarkan, mimiklerinden çok korktum ya. Niye öyle oldu? ",Negatif
Babam arabayı bana vermemekte haklı galiba bu defa ben bile korktum bir yere çarpmaktan,Negatif
"Saçımdaki lastik tokanın kopmasıyla irkildim, vallahi çok korkakmışım",Negatif
ilkokulda tahtaya ismim yazıldığında çok korkardım ,Negatif
"Sustum senden sonra, sessize aldım dilimi. Ne vakit seni anacak olsam, içim titredi. ",Negatif
kabuslarla dolu bir gece daha ,Negatif
karabasan gibi çöktü hayatımıza korkuyorum ,Negatif
Kaza geçirdiğin yerde öldün sandım çok korktum naptınız ya,Negatif
Hayatımın en güzel yıllarının bu yıllar olmasından korkuyorum ,Negatif
Korkuyorum cesaretim kayıp ,Negatif
Yanlız bırakma beni ışığı kapatma korkarım ,Negatif
"Korkuyorum, belki yarın geç olur? Geleceksen eğer bir gün önce gelsene... ",Negatif
Karanlıktan da gök gürültüsünden de korkuyorum şimdi geri nasıl uyuyacam ,Negatif
Çok kötü yağmur yağıyor ve ben korkuyorum ,Negatif
Bu tarz sessiz sakin havalardan nedense korkuyorum fırtına öncesi sessizlik gibi ,Negatif
Evet karanlıktan korkuyorum hatta ödüm bokumda şu an ,Negatif
Yüksekten değil düşmekten korkuyorum ,Negatif
Mesela böyle gök gürültülü ve şimşekli havaları sevmem çünkü korkuyorum gök gürültüsü duyunca titrerim aşırı korkuyorum ,Negatif
Lütfen psikologlar burda takip etmesin beni çok korkuyorum ,Negatif
Kabus görünce uyumaya korkuyorum ,Negatif
Metro ile yolculuk yapmak zorunda kaldım ve can güvenliğimden endişeliyim,Negatif
Ben ölmekten değil de öldükten sonra mahçup olmaktan korkuyorum ,Negatif
Lütfen artık sabah olsun çünkü karanlık fobim var,Negatif
Aynen ya adam baya korkmuş endişeli röportaj yapmak istemişler ,Negatif
Endişe yüklü hayatlarımız ,Negatif
Sınava dört ay kaldı endişeliyim biraz bu daha da artırıyor,Negatif
Ağustos-Temmuz gibi olacak maksimum sıcaklığı düşününce ürktüm. ,Negatif
yüreğime korku salındı Allah'ım sen koru ,Negatif
Gök gürlüyor ve şimşek çakıyor çok hemde ve ben feryat kilit fobim var fobim,Negatif
Aklımı kaybetmekten değil de bulmaktan çok korkuyorum...,Negatif
Düşman kardeşleri izlerken bir yerden Bade'nin anneannesi fırlayacak diye korkuyorum ,Negatif
nasıl yağmur yağıyor vallahi ama acayip gök gürlüyor korkuyorum ,Negatif
ankarada çok güzel dostluklar biriktirdim ama neden korkuyorum ,Negatif
Bu ne biçim bir yağmur :/ evin karşısındaki barda mahsur kaldım korkuyorum ,Negatif
Fırtına öncesi sessizlik gibi bir hava ürktüm.,Negatif
Bu aralar yaşadığım şeylerin tek açıklaması işte gerçek hayat ölüm ayrılık başlangıç tereddüt korku... .,Negatif
Sınav yaklaşıyor ders çalışmam lazım çok korkuyorum ,Negatif
Bir aslan edasıyla kükrüyordu 29 numaralı koltukta uyuyan vatandaş hepimizi korku aldı ,Negatif
patlama sonrası çok fazla ölü var ,Negatif
Didem Soydan'dan korkuyorum çok ürkütücü yüz hatları var,Negatif
"Allah düşmanımı Hematoloji koridorlarına düşürmesin , kontrol için gelmek bile ürkütücü .",Negatif
Dünya iyice çekilmez oldu... Her yerden korku ölüm savaş deprem doğal afet haberi,Negatif
İlk kar yağdığında yollar o kadar buz tutuyor ki araba sürmenin buz pateniyle kaymaktan farkı kalmıyor kaza yapacam diye korkuyorum ,Negatif
Evin türlü köşelerinden çıkan tesbihler update ettiriyor biraz ürktüm ,Negatif
Yarısı da menopoz da saklı ben gidiyorum ürktüm,Negatif
Havai fişek fabrikasında patlama: 2 ölü,Negatif
Bu ara herkes beni rüyasında görüyor Sanırım kendime biraz daha fazla dikkat etmeliyim ,Negatif
"Bir rüya gördüm korku , gerilim , ölüm, şiddet ne varsa vardi.. Annemi istiyorum.",Negatif
Bu vahşet seninle birbirimizden nefret edelim diye Korku aklımızı öfke vicdanımızı körleştirsin diye Bunu ancak biz durdurabiliriz ,Negatif
Herşeyin sınırı var Peşin hükümden gayrı korkarım ,Negatif
Bipolarım ben sanırsam kabuslar falan ,Negatif
Minecraftta madene girerken yasadığım korkuyu hiç birşeyde yaşamadım ,Negatif
Garezi izlediğim güne lanet olsun korkunçtu ,Negatif
Günaydın Evet uyanığım Vize var ve ben çok korkuyorum ,Negatif
işte gidiyorsun: korku ve ölüm bakmadığın leşler gibi ardında.,Negatif
3 gündür staj için ağır ve tehlikeli işlerde çalışabilir raporu almaya çalışıyorum bu işten korkuyorum,Negatif
İlk kar yağdığında yollar o kadar buz tutuyor ki kaza yapmaktan korkuyorum korku filmi gibi yol ,Negatif
"Ölüm ve acı çekmek korkunç şeyler değildir; korkunç olan, bunlardan korku duymaktır.",Negatif
Ben bugün seni rüyam da ölü olarak gördüm çok korktum çocuk allah korusun,Negatif
Ya intihar etmiş ya of kabus gibi,Negatif
Bugün iki intihar etmek isteyen hesap rt ettim. Kabus gibi.,Negatif
"Kerkük'te büyük facia: 20 ölü, 100 yaralı",Negatif
Cami lojmanı inşaatında facia! Ölü ve yaralılar var..,Negatif
Forma numarasını görünce istemsizce irkildim ,Negatif
"Venezuela'da korkunç şeyler oluyor, Hiçbir yetkinliği olmayan Başkan Maduro halkına eziyet ediyor. Ekonomileri yerle bir olmuş durumda ",Negatif
zaman ilerledikçe ürkütücü bir biçimde kadınlar birbirine benzemeye başladı,Negatif
Ferhat'ı sedyede görence irkildim. ,Negatif
Ne kabustu İnsaf ,Negatif
yine patlama olmuş kaç kişi sorularıyla bir gün tekrar Ölmeye devam ediyoruz birileri yaşarken ,Negatif
Seda sayan da kırmızı gömlekli adamı görünce bir irkildim,Negatif
bugün seni göremeyeceğim için çok endişelendim kuzum,Negatif
Unnie seni kaç kere aradık! Çok endişelendim.,Negatif
Kuraklıktan dolayı Balıkesir’de badem fidanları çiçek açtı çiftçi endişeli ,Negatif
uzaklaş izle kork ve hisset ,Negatif
Ya ne zamandır stalklıyorum yoksun öldün mü kaldın mı endişelendim,Negatif
Acı çeken birisinin intihar etmesi rüyada korkunç bir kabus gören kişinin aniden uyanmasına benzer,Negatif
"Bazen metro beklerken beynim yanlış bir komut verir de metronun önüne atlarım diye korkuyorum, çok pis bir fobi",Negatif
"Dünya aslında karanlık bir rüya, bir kabus, akıl almaz bir boşluk, karadeliğin ta kendisi.",Negatif
"Gece korku filmi izlediğim için uykum kaçtı, sanki perdenin arkasında biri vardı çok korktum yani ödüm koptu",Negatif
Mısra aradı ağlıyor dedim niye ağlıyorsun çok korkmuş bir şey oldu diye bana bir şey olsa burada tivit mi atarım,Negatif
Korktum o nasıl bir bağırıştı,Negatif
Çok korkmuş benim güzel baharım,Negatif
Psikoloğa gitmem lazım ama korkuyorum. Ya birşeyim yoksa ya bu benim normal halimse?,Negatif
"Allah'ım bu akşam gerçek mi, yoksa kabus mu görüyorum... .. aklımı kaçırmak üzereyim... .",Negatif
Herşey tamı tamına bir saniye sürdü. Önce şiddetli bir sarsıntı hemen arkasından ürkütücü bir patlama sesi. Sağa sola koşuşturan insanlar... ,Negatif
"Yazarsam ""bıkar"" yazmasam ""unutur"" diye korkuyorum. Herşey gurur değildir bazen.",Negatif
İçimde öldürdüğüm kişiyi karşımda görmek ürkütücü açıkçası ,Negatif
Derimi yüzmüşlercesine acı çektim evet korktum.,Negatif
Her an cümlem yarıda kalacakmış gibi geliyor. Yeni bir fobi türü olsa gerek... ,Negatif
Bir toplumun kötüde ve kötülükte birleşmesi ürkütücü.,Negatif
"Ameliyat odası size de ürkütücü gelmiyor mu ya? Buz gibi oda, koca koca ışıklar.",Negatif
Yalnız her ikisinin de içinde gizliden gizliye büyüyen bir korku vardı: Bir gün gelip ayrılmak korkusu.,Negatif
Ben en çok sensiz kalmaktan korktum. Bir daha sesini duyamamaktan seni görememekten korktum. Ve korktuğum için oldu bunlar biliyorum.,Negatif
Okuldakileri 2 gündür rüyamda görüyorum kabus gibi uyandım,Negatif
Ölmekten korkmuyorum ama sevilmeden ölmek ürkütücü,Negatif
"Herkes gider birgün, kalırsın bir başına gecenin sessiz ve ürkütücü karanlığında",Negatif
Bize gösterilen yüzünü görürüz ama... Esas ürkütücü olan İnsanın görmediğimiz öteki yüzüdür... ,Negatif
Ve bir gün ürkütücü bir ses duyulacak ötelerden.. ,Negatif
Bunlarla aynı dünyada nefes almak bile ürkütücü,Negatif
"Bilmelisiniz ki; engeller gözlerinizi hedeften ayırdığınız zaman, gördüğümüz o ürkütücü şeylerdir.",Negatif
Söz de uyuyacaktım yine uykum kaçtı ürkütücü bir foto,Negatif
"nehir değil okyanus ve sadece yüzeyi bulanık, derinlerinde ürkütücü bir duruluk mevcut.",Negatif
Ölüm çok ürkütücü ama kurtuluşun tek kapısı bu salak saçma düzende,Negatif
"Çok ürkütücü konuşmuş, kuş taraftarı..",Negatif
hobi yayında sürekli öksürüyor acayip endişelendim,Negatif
"Sevmiyorum, sevemem zira aşırı ürkütücü.",Negatif
beni aramandan mı korkuyorum yoksa hiç aramayacağından mı,Negatif
her gün başkalarının yerine utanmaktan utanmaz arlanmaz bir adam olup çıkacağım diye korkuyorum... ,Negatif
"Haziran ayına gelince ‘'sınav Mart'daydı, kaçırdın'' demelerinden korkuyorum ",Negatif
Konserde sahneye dolma baklava filan atarlar diye korkuyorum,Negatif
Çok korkuyorum bir gün sevmeyi unutacam diye.,Negatif
"Öldürmekten korkmuyorum, kalbimde ölmemenden korkuyorum.",Negatif
Bunlar bizide yakacak ondan korkuyorum,Negatif
herkes ilk notlarını gruba 10-20 diye yazmış bakmaya korkuyorum,Negatif
Öldün mü kaldın mı endişelendim kanki,Negatif
Zira biraz daha ders çalışırsam beynim patlayacak diye çok korkuyorum.,Negatif
"Kararlılığınıza hayranım. Öyle ki, dünyayı yerle bir etmenizden korkuyorum.",Negatif
İçimde biriken hislerin birdenbire patlayarak beni zerreler halinde dağıtacağından korkuyorum.,Negatif
Şu koskaca dünya da yalnız ölmekten korkuyorum,Negatif
Çok yakın bir aile dostumuzun oğluydu ve çok korktum gerçekten of sanırım bi 10 yıl yaşlandım,Negatif
kaç büyüklüğündeydi bu ya korktum galiba,Negatif
Deprem oldu korktum hala sallanıyorum,Negatif
Telefonum titreşimde az önce bir titredi ekran yerinden çıkacak diye korktum ne oluyor bir kendine gel sen telefonsun,Negatif
Seni kaybedeceğim diye çok korktum,Negatif
Ya bir an kör falan oldum sandım nasıl korktum nasıl korktum neyse ki şimdi fark ettim birileri yine hayatımı karartmış,Negatif
Bugün sabah gittim birisinden bahsetti o işten çıktı dediler bende bi o mu diye endişelendim,Negatif
Telefonumdan müzik dinlerken telefonumu kaybettim diye endişelendim,Negatif
vallahi anlamadım bende bir korktum görünce dayanamam,Negatif
Ay aşık olmaktan korktum bi an şu an dehşete kapıldım içim ürperdi niye böyle hissettim ki,Negatif
Çok korktum :(( hayatım gözümün önünden film şeridi gibi geçti,Negatif
Havalar soğuyunca sular da soğuyor. Ve bu şartlar altında makyaj yıkamak kabus gibi oluyor. Yıkamasam mı hiç,Negatif
"Kabus gibi bir grip halı, kitap bile okuyamıyorum.",Negatif
Takımımız Gençlerbirliği'nin üzerine kabus gibi çöktü,Negatif
Bu cümle beynime kabus gibi çöktü uyuyamıyorum.. ,Negatif
Hem uyuyamıyorum uyuyunca da kabus görüyorum. Korku filmi sahnesi gibi ,Negatif
90 larda beyaz toroslar hainler için kabus gibiydi dosta güven düşmana korku verirdi Efsaneler ölmez şekli değişir,Negatif
Korku çok acı kabus gibi Yazamayanları anlayabiliyoruz,Negatif
"Depresyondayım, korku filmi izliyorum altıma sıçmak üzereyim çikolatam da bitti kabus şimdi başlıyor..",Negatif
Dün sadece korku filmlerinden bahsettik diye bile bütün gece kabus gördüm.,Negatif
Geçen hafta peşpeşe 3 gün kabus gördüm şükür ki balık hafızalıyım içeriğini hatırlamıyorum ama içimde bir şeylere karşı korku hissi var,Negatif
"Arkadaş bir kabus gördüm, korku aksiyon dalında Oscar'lık.. Kafama çekiçle vurulmuş gibiyim ",Negatif
Sabah 05:30 da kabus görürken depremle uyanınca ne olduğumu anlamadım yok böyle korku (ama deprem gerçekti),Negatif
Bu bir rüya uyan diye diye uyandığım feci bir kabus gördüm az önce. Bir daha ölene kadar uyumak istemiyorum çünkü korku,Negatif
"Sabahın bu saatine kadar kaç korku filmi bitirdim hepsi kabus olacak, uyudu.",Negatif
Beni pijamalı evden çıkartıp markete gönderen hayat karşıma tarkan'ı çıkartacak diye ödüm koptu,Negatif
Koridorun ışığını yaktım tam yatacam arkamdan biri geçti sanki ödüm koptu. Yok mu bir fedai dikin kapıma uyucam.,Negatif
"Korku filmi izleyeyim dedim daha fragmanında ödüm koptu, izleyemiyecem, dükkanda, gündüz vakti, gelen gidenin içinde bile resmen korkuyorum :(",Negatif
Yüzüne okumaya o kadar kaptırmışım ki kardeşimin bağırmasıyla ödüm koptu ,Negatif
Kendi kendini korkutan insan yapmışlar allah canımı almasın ödüm koptu,Negatif
Ne diyosun ya korktum şu an bir daha yapma öyle kahve,Negatif
kız bana squat mı yapıyorsun dedi korktum nerelerimi dikizliyon sen,Negatif
Bugün English Home kasiyeri bana Allah'a emanet olun dedi biraz korktum,Negatif
İlk defa bir sınavda adımı yazıp çıkcam diye çok korktum neyseki 1 cümle yazabildim,Negatif
Mesaj mı çekelim diyecektim çarpılırım diye korktum,Negatif
Bugün 4 yaşındaki yavrularımı hayvan müzesine götürdük. Müzeye girdiğimde ben korktum çocuklar elimi tuttu ... ,Negatif
bugün derste budist ilahisi dinliyodum hoca flüt dinleyen kimse kapatsın dedi çok korktum,Negatif
Sezonun böyle biteceğini bilseydim başlamazdım bile son bölümü izlemeye korkuyorum..,Negatif
Stephan Hawking tam 4 gündür negatif basmamış noldu acaba endişelendim şimdi,Negatif
çok korktuk ya of çok korkuyorum jackson gelip engel olucak diye ellen'a da gelir falan üf,Negatif
"Kaybolmuş corabın bulunamayan teki gibiyim . Hadi çıkarın artık beni buradan , çok soğuk ... korkuyorum",Negatif
korkuyorum titriyorum üşüyorum,Negatif
Saçlarımı kestirmeye geldim ben bile korkuyorum kendimden şu an,Negatif
Bu saatte sela okunması ürkütücü,Negatif
Sesinin bu kadar ürkütücü olduğu şeyin seni bombalaması nasıl korkunç olur hayal edemiyorum.,Negatif
"Kadını biri bayıltmaya çalışıyor gibi geldi, ürkütücü. Kendinden vazgeç, bayıl der gibi.",Negatif
Sela sesiyle uyanmak kadar ürkütücü birşey yok.,Negatif
"Bazı oteller lüks ve konforlu olması ile meşhurdur, bazıları ise ürkütücü olmalarıyla. ",Negatif
"sessiz iyi demeyin, bazen sessiz en gürültülü sesten daha ürkütücü.",Negatif
Herşey yolunda mı ? Bir patırtı duymayınca endişelendim ..,Negatif
Yalnızlık bazen çok huzurlu bazen de çok ürkütücü..,Negatif
Bir sonraki evreyi düşününce irkildim.,Negatif
"Karşıma aniden çıkan köpekten irkildim ve o anda köpeğin yüzünde alındığını belirten bir ifade belirdi, köpek bile daha insancıl dedim kendi kendime",Negatif
Kız çok o kadar sakin konuşuyor ki harbi irkildim,Negatif
düşünüp irkildim çok kötü olacaz çok. büyük kepaze edecez kendimizi :(,Negatif
makyaj yapan aklıma ne diyeyim ya panda gibi olmuşum aynaya bakınca irkildim,Negatif
"Yani irkilmeyene kadar izleme kararı almıştım, ses açıkken her defasında irkildim.",Negatif
Kaçın burdan başımıza taş yağacak ben irkildim,Negatif
"Otobüste eşya koyma yerinde uyurken, bir anda bir irkildim baktım ki kadın çantasını kucağıma koymuş akbil arıyor, bu ne cesaret yiğidim",Negatif
Abi takibe aldin bir irkildim tedirgin oldum. Takibe aldıkların çok yaşamıyor nota mı vericen pike mi yapıcaksın bana,Negatif
Allah cezanızı vermiye emi ütüyü kızgın tasavvur ettim irkildim,Negatif
"Dalgın dalgın yürürken ani fren sesine irkildim, şöfor hemen inip hatalı olduğunu söyledi ve özür diledi ben utandım.",Negatif
"Günlerden bir gün dar, derin, karanlık Evka sokaklarında dolaşırken bir ıslık duydum. Biraz irkildim çünkü gecenin bu saatinden sonra",Negatif
Piyasa uzmanları endişeli.. Ekonomi iyi gitmiyor ,Negatif
Gazprom endişeli: ABD'nin yaptırımları ‘Türk Akımı' için risk,Negatif
Hindistan Müslümanları endişeli: Evlerimiz işaretleniyor ,Negatif
Dün komple rüya olsaydı kocaman bir kabus gibi hatırlasaydım ..!!!!,Negatif
Rüya gördüm rüyada denmez kabus gibi birşeydi,Negatif
Arkadaş şu 2 hafta kabus gibi çöktü futbolsuz ve herşeyden önemlisi Beşiktaş'sız olmuyor be.!,Negatif
Kabus gibi bir günün ardından yarın 3/B ye dersim var. Ölmeden mezara girmek bu bence,Negatif
Yine saçma sapan kabus gibi rüyalar gördüm onlardan kurtulup güne adapte olana kadar gece olcak,Negatif
Ah vizeler kara vizeler kabus gibi çöken vizeler,Negatif
Çok korkunçtu ya germek gibiydi 3'dür bu rüyayı görüyorum hayrolur inşallah,Negatif
"Allah'ım kabusları dan uyandır beni minik oğlumu kaybettim bir tatil beldesinde, hala arıyordum ve korkunçtu. Ne biçim günaydın bu ya.",Negatif
içimde öldürdüm önce rüyamda gördüm sonra karşımdaydı ve korkunçtu,Negatif
"görüntü korkunçtu. ama daha korkunç olanı; sağlığa bu kadar titiz olan ülkemin, tecavüzcüleri serbest bırakılıyor olması.",Negatif
Dünyanın en kötü rüyasını gördüm pompalı tüfekle annemi babamı ablamı vurduktan sonra intihar ettim aşırı korkunçtu,Negatif
Allah'ım çok korkunçtu ya,Negatif
Yanlışlıkla birini takip ettim hemen geri aldım çok korkunçtu,Negatif
Bulaşık yıkadım çok korkunçtu bir an ölücem sandım,Negatif
rüyamda konuşurken uyandım cümlemi bitirdim ve dediklerimi duydum. aşırı korkunçtu,Negatif
Tam ölü taklidi yapmalık bir gün,Negatif
Stockholm'de bir kadın ölü bulundu,Negatif
Marcel'e stajyer muamelesi yapılacağından çok endişeliyim,Negatif
Gelecek için çok endişeliyim ama çaba gösteremiyorum.,Negatif
30 mükemmel bir yaş olabilir lakin bana çok korkutucu geliyor,Negatif
Yeni birine alışma ihtimali bile çok korkutucu.,Negatif
Evden değişik sesler geliyor biraz korkutucu,Negatif
"Gözlerime bak ve tekrar et! Yaşamak, ölüm kadar korkutucu.",Negatif
arkadaşlar bir süredir böyle aynı anda aynı şeyleri yazıyoruz korkutucu ,Negatif
İçinizde öldürdüğünüz kişiyi karşınızda görmek çok korkutucu değil mi?,Negatif
olayla ilgili hiçbir bilgisi olmayıp da her şeyden bu kadar emin olmak gerçekten çok korkutucu.,Negatif
"timeline bildiğin boş sokak gibi, bakınca endişelendim adeta.",Negatif
gerçekten ürkütücü bir aile ama onlardan da olsam fena olmazdı diye düşünmüyor değilim,Negatif
İnsanın insana benzer yaratımlar yapması ürkütücü :/ ,Negatif
Sürekli yer bildirimi yapan takipçim vardı 2 gündür gönderi yapmıyor endişelendim,Negatif
okula gidip gelene kadar sıcaktan eriyecem diye endişelendim resmen bu ne ya ,Negatif
Tamam anladık selamsız giriyorsun da sessiz neden geliyorsun kardeşim ödüm koptu,Negatif
batuhanla spor yapıcaz korkuyorum tayt giydi,Negatif
"Ya miyav diyen küçük bir canlıdan niye korkuyorum bilmiyorum, ama korkuyorum yanıma yaklaşması bile büyük bir şey",Negatif
"geçmişe dönüp bakmak dahi istemiyorum çünkü sen varsın, gülüyorsun ve yine yeni yeniden severim diye korkuyorum",Negatif
birinin telefonu çalınca neden ben geriliyorum acaba lütfen herkes sessize alsın ben korkuyorum,Negatif
Bir an bütün hesapları ROK ele geçirmiş olabilir mi diye endişelendim!..,Negatif
Artık pantolon almaya korkuyorum rengi giderse diye,Negatif
Sana bir şey olacak diye o kadar korkuyorum ki gözlerim hep biraz ıslak,Negatif
Şu insanların kapılarının önünden geçerken eve girecekmiş gibi geçmeyin kapıyı bir açtım korktum ,Negatif
Jimin'in kulağına bir şey mi olmuş çok endişelendim şu an,Negatif
Yemin ederim açılacaktım ucundan döndüm yine korktum yapamadım gitti konuşalım dedim tamam dedi ama gidemedim ben,Negatif
Geçtim karşısına tam patır patır her şeyi söylüyorum korktum yumuşamaktan,Negatif
Melek yüzlü adam bir an şeytana dönüştü korktum bir an ben,Negatif
az önce biri aradı korktum ne oldu anlayamadım,Negatif
"Ayakkabıcı sıkıyorsa alma dedi, bende korktum aldım.",Negatif
Matçıya kısık sesle sus dedim hoca duydu tamam dedi amk sikecek diye çok korktum,Negatif
Korkunç baksanıza bunlar adamı öper ,Negatif
"Bunun gerçek olabilme ihtimali korkunç, eğer gerçekse çok daha korkunç ",Negatif
Yakın zamanda robotlar bizi geçecek bu çok korkunç sonumuzu getirecekler,Negatif
Gece rüyamda gördüğüm insanın sabah mesaj atması nedir ? ürktüm bir,Negatif
Bu nasıl bir havadır be. Kapkaranlık uu dışarı çıkınca resmen ürktüm,Negatif
Çok korkutucu değil mi adamın yerinde olmak istemezdim ürktüm yani ,Negatif
"Gecenin bu saatinde hemcinsimden bu mesajı aldım, ciddi anlamda ürktüm, bu mesajı başka kişiler tarafından neden almıyorum Allah'ım? ",Negatif
İzlerken çok korkak olduğumu farkettim.bakarken bile ürktüm :),Negatif
taksiciden biraz ürktüm sümkürüp kendinden tiksindir diyen fav,Negatif
Gerçekten çok yazılıp çizildi ürktüm şahsen,Negatif
8. Şubenin deposu ve personel alanı tam korku filmi çekilecek gibi ayarlanmış ürktüm,Negatif
Otobüsteyim yanımdaki kadın müge anlı izleyip çay içiyor bazen de YUH cani şerefsiz diye tepkiler veriyor ürktüm,Negatif
Düşünsenize üniversiteyi kocaelinde okuyorsunuz ay kabus gibi,Negatif
Kötü bir kabus gördün diye rüyalarından vazgeçme!,Negatif
Otobüs kartım tam çekmeye başladı ve ben artık öğrenci değilim resmen kabus,Negatif
Bugün baya baya güneş için endişelendim,Negatif
Kayıp korkusuyla sınanmak çok kötü umarım kabus görüyorumdur,Negatif
Tek kelime ile muazzam ve bir o kadar ürkütücü ,Negatif
İnsanın aciz olduğunu ara ara Rabbimin hatırlatması... ürkütücü bir manzara. ,Negatif
Bana çok korkutucu geliyor. Daha alışamadım bu fikre. Alışmak istiyor muyum o da ayrı.,Negatif
30 mükemmel bir yaş olabilir lakin bana çok korkutucu geliyor,Negatif
Yeni birine alışma ihtimali bile çok korkutucu.,Negatif
Instagram hesabı olup hiç fotosu olmayan hesaplar çok korkutucu değil mi yav.Takip isteği atıyorlar kabul etmiyorum,Negatif
Evden değişik sesler geliyo biraz korkutucu,Negatif
Buradaki korkunç durum şu ki azılı bir kafir dahi mizanda bu sapkın dinin islam olmadığına şehadet edecek Ne rezil bir durum düşünsenize,Negatif
Hakikaten insanlar korkudan mı yoksa cidden umursamadığından mi bu halde. Çok korkunç durum,Negatif
Bu korkunç durum son görevimizle ilgili değil. Haberimiz bile olmadan en baştan beri bu savaşın içindeydik biz..,Negatif
"Bir ilişkide en korkunç durum bir kızın soğumasıdır kendinizden soğutmayın beyler, kaybedersiniz.",Negatif
İlk defa bi arkadaşım için endişelendim. gidiyorum buralardan diyip internetini kapadı..,Negatif
üniversitenin bizleri soktuğu o korkunç durum !! ,Negatif
"Sanırım benim için en korkunç durum bu, kelimelerim tükendi",Negatif
Eleştirilen şey insanın başına gelince hissedilen o korkunç durum,Negatif
